owner_link,owner,views,followers,average_rating,google_maps_locatoin_link,long,lat
0,https://opensooq.com/en/mid/member-5443819,مكتب العال و الروضه العقاري , 400K,59 ,2.8,,,
1,https://opensooq.com/en/mid/member-1534066827100,الكسواني للاسكان , 830.2K,261 ,3.8,,,
2,https://opensooq.com/en/mid/member-145796546167,شركه رائد العساف وشريكه , 184.6K,27 ,4.5,,,
3,https://opensooq.com/en/mid/member-163196666279,بلال نجم , 5.9K,0 ,0,,,
4,https://opensooq.com/en/shops/everett-housing-32795456,Everett Housing, 4.4M,865 ,3.7,,,
5,https://opensooq.com/en/mid/member-150566142021,شركة شامية للاسكانShamiah Real Estate’ , 426K,74 ,4,,,
6,https://opensooq.com/en/mid/M.Soudi_RealState,M.Soudi RealState, 307.2K,26 ,4.1,,,
7,https://opensooq.com/en/mid/fesal-11,شركه قاسيون للاسكان , 316.4K,47 ,4.2,,,
8,https://opensooq.com/en/shops/شركة-غلوبال-العقارية-12618750,شركة غلوبال العقارية, 7.4M,914 ,3.5,,,
9,https://opensooq.com/en/mid/member-145252952585,mohammed , 16.2K,0 ,2.3,,,
10,https://opensooq.com/en/shops/شركة-قونية-للتطوير-و-إدارة-العقارات-16658493,شركة قونية للتطوير و إدارة العقارات, 16.2M,4.1K ,3.4,,,
11,https://opensooq.com/en/mid/member-1706685170.8318677,osama h ahmad , 7.2K,3 ,0,,,
12,https://opensooq.com/en/mid/member-166733210113,Abdullah Okour, 20K,0 ,4,,,
13,https://opensooq.com/en/mid/tabishat,محمد , 39.7K,0 ,0,,,
14,https://opensooq.com/en/mid/member-162348835618,Hamzah Abu Saif, 19.7K,2 ,5,,,
15,https://opensooq.com/en/mid/member-16153000014,member16153000014 , 22K,4 ,0,,,
16,https://opensooq.com/en/shops/mansour-housing-company-1778332,Mansour Housing Company, 4.1M,1.3K ,3.7,,,
17,https://opensooq.com/en/mid/member-146664211835,لوريت للمباني الحديثة ابو ادم القرعان, 799.8K,397 ,4.2,,,
18,https://opensooq.com/en/mid/member-6643353,ragheb totanjy , 309.3K,29 ,3.6,,,
19,https://opensooq.com/en/mid/member-15610175043,عقار بورت , 897.8K,111 ,3.5,,,
20,https://opensooq.com/en/mid/issakhader,عيسى ابو العظام abu al-itham, 94.7K,0 ,5,,,
21,https://opensooq.com/en/mid/member-153226934754,حكمت الدلابيح للعقارات, 10.2K,9 ,5,,,
22,https://opensooq.com/en/mid/member-103914599023900540911,Apple iPhone, 332.5K,21 ,2.3,,,
23,https://opensooq.com/en/mid/member-148094287816,Eng Sadam Alquraan , 149.8K,0 ,4.3,,,
24,https://opensooq.com/en/mid/member-10154141939661396,Firas , 106.6K,0 ,0,,,
25,https://opensooq.com/en/mid/member-871557306260549,الاستثمار العقاري في الأردن , 1.6M,1.5K ,3.8,,,
26,https://opensooq.com/en/mid/member-159542207246,شركة الشرقاوي , 171.3K,31 ,4.7,,,
27,https://opensooq.com/en/mid/member-114691729698227954349,eng omar odeh, 219.7K,120 ,4.9,,,
28,https://opensooq.com/en/mid/member-1716894828.6084662,مصطفى سعيد أبو همام , 869,0 ,0,,,
29,https://opensooq.com/en/mid/member-144720648249,شركة النرويج للاسكان شركة النرويج للاسكان, 44.5K,12 ,2.3,,,
30,https://opensooq.com/en/mid/member-4236169,a1234 , 126.2K,10 ,3.5,,,
31,https://opensooq.com/en/mid/member-149207275892,مؤسسة  الترك العقاريه ., 1.4M,268 ,3.7,,,
32,https://opensooq.com/en/mid/Noura12345678,Narmeen , 407.1K,58 ,4.1,,,
33,https://opensooq.com/en/mid/member-112509077535623697062,مكتب تل الرمان العقاري , 435.4K,48 ,4.2,,,
34,https://opensooq.com/en/mid/member-162315083049,Anas Nusair, 136.3K,25 ,4.3,,,
35,https://opensooq.com/en/mid/member-117369887719541544131,Saf Haws, 410.4K,36 ,4.6,,,
36,https://opensooq.com/en/mid/member-6847193,حسن بدران , 10.5K,4 ,0,,,
37,https://opensooq.com/en/shops/الثقه-العقاريه-151385,الثقه العقاريه, 339.6K,44 ,3.8,,,
38,https://opensooq.com/en/mid/member-151792657522,Hakam Abandah, 269.2K,17 ,3.6,,,
39,https://opensooq.com/en/mid/member-147256342266,Ali Omar Haimour , 35.7K,5 ,3,,,
40,https://opensooq.com/en/mid/member-146599888524,colonail , 45.8K,3 ,0,,,
41,https://opensooq.com/en/mid/member-16307109224,summer , 2.1K,0 ,0,,,
42,https://opensooq.com/en/mid/member-2708920,Mazen Queisi, 106.4K,0 ,4.5,,,
43,https://opensooq.com/en/mid/member-168250007452,الميرا للإستثمارات العقارية ., 16.5K,2 ,0,,,
44,https://opensooq.com/en/mid/member-154782084636,Abdalluh , 178.8K,13 ,3.8,,,
45,https://opensooq.com/en/mid/brotherman,شركة الصالح للإسكان , 255.5K,25 ,2.5,,,
46,https://opensooq.com/en/mid/member-10155663906827161,Arch Issa, 184.4K,81 ,3.7,,,
47,https://opensooq.com/en/mid/member-148678696567,عبدالله , 177.5K,24 ,3.9,,,
48,https://opensooq.com/en/mid/member-280524,العقار الاول للاسكان , 652.1K,296 ,4.2,,,
49,https://opensooq.com/en/shops/شركة-جمال-ياغي-و-اولاده-للاسكان-3058377,شركة جمال ياغي و اولاده للاسكان, 337.1K,59 ,4,,,
50,https://opensooq.com/en/mid/member-150402262720,شركة الديري للإسكان , 157.8K,20 ,4.1,,,
51,https://opensooq.com/en/mid/member-1958985414344687,الجمزاوي للاسكان, 820.2K,173 ,3.7,,,
52,https://opensooq.com/en/mid/member-150031190723,محمد فراش , 88.2K,15 ,5,,,
53,https://opensooq.com/en/mid/member-1714302739.3368455,تامر احمد إسماعيل محمد , 12.9K,0 ,0,,,
54,https://opensooq.com/en/mid/member-5801039,ابو حازم , 13K,0 ,0,,,
55,https://opensooq.com/en/shops/شركة-السلالم-للابنية-والاسكان-16907491,شركة السلالم للابنية والاسكان, 1.9M,290 ,3.9,,,
56,https://opensooq.com/en/shops/المجرة-العقارية-4050743,المجرة العقارية, 2.5M,285 ,4,,,
57,https://opensooq.com/en/mid/member-160098986038,الفهد , 37.2K,9 ,3.5,,,
58,https://opensooq.com/en/mid/member-150927080997,بوابه جنوب المطار للإستثمارات العقارية , 2M,674 ,3.9,,,
59,https://opensooq.com/en/mid/member-114873315646273938445,Majed Alouri, 36.4K,2 ,3.7,,,
60,https://opensooq.com/en/mid/member-146899867292,معرض ابو سماحه , 2.5M,2.5K ,3.6,,,
61,https://opensooq.com/en/mid/member-107509567807287317148,Mohammad Shakhatreh, 21.1K,0 ,5,,,
62,https://opensooq.com/en/mid/member-164616172917,member164616172917 , 63.6K,5 ,3,,,
63,https://opensooq.com/en/mid/attalgroup,ROYAL REAL ESTATE , 1.1M,236 ,4,,,
64,https://opensooq.com/en/mid/member-151998484268,عبدالرحمن , 272.1K,91 ,4,,,
65,https://opensooq.com/en/mid/member-145916376519,ابو الوليد , 79.8K,7 ,5,,,
66,https://opensooq.com/en/shops/شركة-الضحى-للاسكان-6552271,شركة الضحى للاسكان , 66.7K,15 ,4.5,,,
67,https://opensooq.com/en/mid/member-150089871390,حسام احمد , 106K,8 ,5,,,
68,https://opensooq.com/en/shops/ابو-عبد-الرحمن-alzboon-797972,ابو عبد الرحمن Alzboon, 46.6K,150 ,4.3,,,
69,https://opensooq.com/en/shops/ناصر-الجمزاوي-15857659,ناصر الجمزاوي, 533.2K,83 ,3.5,,,
70,https://opensooq.com/en/mid/member-1699454742.3724341,sarah , 8.4K,0 ,0,,,
71,https://opensooq.com/en/mid/member-144969376097,احمد صوالحه , 1.2M,155 ,4.5,,,
72,https://opensooq.com/en/mid/member-1038619142903948,Ahmed Abdulfattah, 158K,19 ,3.6,,,
73,https://opensooq.com/en/mid/issam72,عصام الريان, 66.5K,52 ,0,,,
74,https://opensooq.com/en/mid/AlDaoudRealestate,شركة الداوود للعقارات , 3.6M,713 ,3.2,,,
75,https://opensooq.com/en/mid/TopJordan,شركة قمة الاردن العقارية top Jordan realestate, 6.4M,1K ,3.7,,,
76,https://opensooq.com/en/shops/blue-olives-64544453,Blue Olives , 459.5K,36 ,2.8,,,
77,https://opensooq.com/en/mid/omaralshaker,Omar Abu Baker, 10.2M,636 ,4,,,
78,https://opensooq.com/en/mid/member-6875801,شركة فتحي صقر للاسكان , 15.7K,0 ,1,,,
79,https://opensooq.com/en/mid/member-101178643046117125759,Zeid Jbareh, 31.3K,2 ,5,,,
80,https://opensooq.com/en/mid/member-16259990461,member16259990461 , 17K,0 ,5,,,
81,https://opensooq.com/en/mid/member-146329406954,شركة رامي ابو عين للتطوير العقاري , 1.8M,303 ,3.3,,,
82,https://opensooq.com/en/mid/member-112677851550234784167,شركة اللمسة الانيقة للاسكان ., 101.4K,12 ,4,,,
83,https://opensooq.com/en/mid/member-110564190805097692062,شركة ميكال للشقق السكنية ., 480.7K,423 ,4.3,,,
84,https://opensooq.com/en/mid/Mutazmusa9,شركة جلال موسى للاسكان للاسكان, 1.4M,276 ,3.5,,,
85,https://opensooq.com/en/mid/member-147507942332,Mahmmmod saleem , 11K,0 ,2,,,
86,https://opensooq.com/en/mid/member-241497319626239,محمد الشواربة, 76.1K,3 ,0,,,
87,https://opensooq.com/en/mid/salem_2,مكتب سالم المعايعه العقاري , 2M,616 ,4,,,
88,https://opensooq.com/en/mid/golf20gti,صلاه النبي , 131.4K,20 ,4.7,,,
89,https://opensooq.com/en/mid/member-145998995747,كريم للعقارات جميع انحاء المملكة , 1.9M,159 ,3.4,,,
90,https://opensooq.com/en/mid/member-6628571,سامي , 172.4K,8 ,4.4,,,
91,https://opensooq.com/en/mid/Omar_Abdullah,Omar Abdullah, 171.6K,3 ,2,,,
92,https://opensooq.com/en/mid/member-113346535742561395709,اسكان عمار رمان , 334.4K,30 ,3.7,,,
93,https://opensooq.com/en/mid/member-147793011774,شركه سكجها للإسكان , 145.2K,0 ,3.9,,,
94,https://opensooq.com/en/mid/member-444782415874702,حجر الأساس, 539.6K,58 ,3.6,,,
95,https://opensooq.com/en/mid/member-16253918623,yousef , 30.8K,3 ,5,,,
96,https://opensooq.com/en/shops/شركة-ميزون-لتطوير-العقارات-و-الإسكان-16184543,شركة ميزون لتطوير العقارات و الإسكان, 9.3M,2K ,3.2,,,
97,https://opensooq.com/en/mid/member-147255803450,علي داربكر , 46.1K,0 ,3.5,,,
98,https://opensooq.com/en/mid/member-3488687,محمد الشايب, 578.9K,71 ,3.8,,,
99,https://opensooq.com/en/mid/member-145573877789,طالب العزب ., 4.1M,578 ,3.7,,,
100,https://opensooq.com/en/mid/member-157132335061,Mousa Abu Doush , 124.7K,5 ,5,,,
101,https://opensooq.com/en/mid/member-145866776790,م.أشرف , 152.9K,25 ,4.5,,,
102,https://opensooq.com/en/shops/معتز-بني-مصطفى-6726307,معتز بني مصطفى, 1.2M,143 ,3.5,,,
103,https://opensooq.com/en/shops/مروان-الركيبات-للإسكان-marwan-alrkebat-68799142,مروان الركيبات للإسكان Marwan Alrkebat , 169.4K,0 ,3,,,
104,https://opensooq.com/en/mid/member-164353510144,AJ , 85K,6 ,5,,,
105,https://opensooq.com/en/mid/member-10863425,Rida Hammad, 473K,210 ,3.3,,,
106,https://opensooq.com/en/mid/member-148845336651,البنك الاردني الكويتي, 178.7K,249 ,2.4,,,
107,https://opensooq.com/en/shops/شركة-ابو-ليلى-للاسكان-و-التطوير-العقاري-16184695,شركة ابو ليلى للاسكان و التطوير العقاري, 7.3M,1.2K ,3.2,,,
108,https://opensooq.com/en/mid/member-148796778098,عبدالرحمن , 73.2K,11 ,4.8,,,
109,https://opensooq.com/en/shops/taj-real-estate-20270252,TAJ Real Estate , 3.5M,184 ,2.9,,,
110,https://opensooq.com/en/mid/member-145199280797,abi nbt, 35.9K,0 ,0,,,
111,https://opensooq.com/en/mid/member-1715705495.8847952,Tariq , 674,0 ,0,,,
112,https://opensooq.com/en/mid/member-100000547123305,Alaa Aldin Alquraan, 461.4K,594 ,4.3,,,
113,https://opensooq.com/en/mid/عبد_الله_بنات,,,,,,,
114,https://opensooq.com/en/shops/ابو-عابد-8930619,ابو عابد , 1.5M,109 ,3.6,,,
115,https://opensooq.com/en/shops/مكتب-البنيات-العقاري-13777461, مكتب البنيات العقاري, 857.7K,239 ,3.3,,,
116,https://opensooq.com/en/mid/member-165285318096,حضانة للبيع , 852,0 ,0,,,
117,https://opensooq.com/en/mid/member-115598597425581123536,Ramiz Bahu, 30.2K,3 ,0,,,
118,https://opensooq.com/en/mid/member-160226411890,ابو عمر , 1.9K,0 ,0,,,
119,https://opensooq.com/en/mid/member-148940738384,abo kareem , 203.2K,22 ,1,,,
120,https://opensooq.com/en/mid/member-1713369229.211863,عبدالرحمن حسن , 118,0 ,0,,,
121,https://opensooq.com/en/mid/member-749121418752472,باسم خصاونه 01 خصاونة, 987.4K,704 ,3.7,,,
122,https://opensooq.com/en/mid/member-2898857,Mahmoud ., 264.2K,0 ,4.5,,,
123,https://opensooq.com/en/mid/member-105741799874291903777,Ksjvck Vskvck, 17K,0 ,0,,,
124,https://opensooq.com/en/mid/ليث_القضاة_000,,,,,,,
125,https://opensooq.com/en/mid/member-7496277,أحمد ابو عواد, 204.3K,14 ,3.7,,,
126,https://opensooq.com/en/mid/member-163699071733,شركة شفا الاردن للمشاريع الاسكانيه ., 159.7K,22 ,4,,,
127,https://opensooq.com/en/mid/member-166059664877,عمر ركيبات للأسكانات , 2.9K,2 ,5,,,
128,https://opensooq.com/en/mid/member-4424899,ammar ammar, 819.2K,69 ,2.9,,,
129,https://opensooq.com/en/mid/member-158037437286,BLUE OLIVE REAL ESTATE AMMAN 2 , 956.6K,127 ,3.2,,,
130,https://opensooq.com/en/shops/شركة-راشين-للاسكان-142775,شركة راشين للاسكان , 2.6M,189 ,4,,,
131,https://opensooq.com/en/mid/عمر_سامي,,,,,,,
132,https://opensooq.com/en/mid/zaddco,Hani Moucattash, 74.9K,3 ,4,,,
133,https://opensooq.com/en/shops/alghidian-الغديان-العقارية-8969037,AlGhidian الغديان العقارية, 572.8K,81 ,3.1,,,
134,https://opensooq.com/en/shops/محمود-الحياري-7797555,محمود الحياري, 2.5M,193 ,3.8,,,
135,https://opensooq.com/en/mid/ahmed109,al-hijjawi real estate , 856.5K,94 ,3.2,,,
136,https://opensooq.com/en/mid/newcars,A , 45.3K,0 ,5,,,
137,https://opensooq.com/en/mid/member-147072994127,قصي , 71.5K,5 ,5,,,
138,https://opensooq.com/en/mid/member-159731789772,طابو العقارية , 218.5K,50 ,3.6,,,
139,https://opensooq.com/en/mid/member-147034741382,Adnan Allouzy , 36K,7 ,0,,,
140,https://opensooq.com/en/mid/member-162247106985,Gold way real estate ., 4.2M,279 ,3.4,,,
